"title"	"track_n"	"text"	"album"	"artist"
"206"	"Spanish Bombs"	6	"Yo te quiero, oh mi corazon"	"London Calling"	"The Clash"
"207"	"Spanish Bombs"	6	"Spanish songs in Andalucia, Mandolina, "	"London Calling"	"The Clash"
"208"	"Spanish Bombs"	6	"(oh mi corazon)"	"London Calling"	"The Clash"
"209"	"Spanish Bombs"	6	"Spanish songs in Granada, oh mi corazon"	"London Calling"	"The Clash"
"210"	"Spanish Bombs"	6	"(oh mi corazon)"	"London Calling"	"The Clash"
"211"	"Spanish Bombs"	6	"(oh mi corazon)"	"London Calling"	"The Clash"
"212"	"Spanish Bombs"	6	"(oh mi corazon)"	"London Calling"	"The Clash"
"213"	"The Right Profile"	7	"Say, where did I see this guy?"	"London Calling"	"The Clash"
"214"	"The Right Profile"	7	"In "	"London Calling"	"The Clash"
"215"	"The Right Profile"	7	"Red River"	"London Calling"	"The Clash"
"216"	"The Right Profile"	7	"Or "	"London Calling"	"The Clash"
"217"	"The Right Profile"	7	"A Place in the Sun"	"London Calling"	"The Clash"
"218"	"The Right Profile"	7	"Maybe "	"London Calling"	"The Clash"
"219"	"The Right Profile"	7	"The Misfits"	"London Calling"	"The Clash"
"220"	"The Right Profile"	7	"Or "	"London Calling"	"The Clash"
"221"	"The Right Profile"	7	"From Here to Eternity"	"London Calling"	"The Clash"
"222"	"The Right Profile"	7	"Can everybody say, \"Is he all right?\""	"London Calling"	"The Clash"
"223"	"The Right Profile"	7	"And everybody say, \"What's he like?\""	"London Calling"	"The Clash"
"224"	"The Right Profile"	7	"And everybody say, \"He sure look funny\""	"London Calling"	"The Clash"
"225"	"The Right Profile"	7	"That's Montgomery Clift, honey!"	"London Calling"	"The Clash"
"226"	"The Right Profile"	7	"New York, (New York) New York, 42nd Street"	"London Calling"	"The Clash"
"227"	"The Right Profile"	7	"Hustlers rustle and pimp pimp the beat"	"London Calling"	"The Clash"
"228"	"The Right Profile"	7	"Monty Clift is recognized at dawn"	"London Calling"	"The Clash"
"229"	"The Right Profile"	7	"He ain't got no shoes and his clothes are torn"	"London Calling"	"The Clash"
"230"	"The Right Profile"	7	"And everybody say, \"Is he all right?\""	"London Calling"	"The Clash"
"231"	"The Right Profile"	7	"Can everybody say, \"What's he like?\""	"London Calling"	"The Clash"
"232"	"The Right Profile"	7	"Everybody say, \"He sure look funny\""	"London Calling"	"The Clash"
"233"	"The Right Profile"	7	"That's just Montgomery Clift, honey!"	"London Calling"	"The Clash"
"234"	"The Right Profile"	7	"I see a car smashed at night"	"London Calling"	"The Clash"
"235"	"The Right Profile"	7	"Cut the applause and dim the light"	"London Calling"	"The Clash"
"236"	"The Right Profile"	7	"Monty's face is broken on a wheel"	"London Calling"	"The Clash"
"237"	"The Right Profile"	7	"Is he alive? Can he still feel?"	"London Calling"	"The Clash"
"238"	"The Right Profile"	7	"And everybody say, \"Is he all right?\""	"London Calling"	"The Clash"
"239"	"The Right Profile"	7	"And everybody say, \"Shine the light!\""	"London Calling"	"The Clash"
"240"	"The Right Profile"	7	"Everybody say, \"It's not funny\""	"London Calling"	"The Clash"
"241"	"The Right Profile"	7	"That's Montgomery Clift, honey!"	"London Calling"	"The Clash"
"242"	"The Right Profile"	7	"Shoot his right profile"	"London Calling"	"The Clash"
"243"	"The Right Profile"	7	"Everybody say, \"Is he all right?\""	"London Calling"	"The Clash"
"244"	"The Right Profile"	7	"And everybody say, \"What's he like?\""	"London Calling"	"The Clash"
"245"	"The Right Profile"	7	"Everybody say, \"He sure look funny\""	"London Calling"	"The Clash"
"246"	"The Right Profile"	7	"That's Montgomery Clift, honey!"	"London Calling"	"The Clash"
"247"	"The Right Profile"	7	"Nembutol"	"London Calling"	"The Clash"
"248"	"The Right Profile"	7	"Numbs it all"	"London Calling"	"The Clash"
"249"	"The Right Profile"	7	"But I prefer"	"London Calling"	"The Clash"
"250"	"The Right Profile"	7	"Alcohol"	"London Calling"	"The Clash"
"251"	"The Right Profile"	7	"And everybody say, \"What's he like?\""	"London Calling"	"The Clash"
"252"	"The Right Profile"	7	"And everybody say, \"Is he all right?\""	"London Calling"	"The Clash"
"253"	"The Right Profile"	7	"Everybody say, \"He sure look funny\""	"London Calling"	"The Clash"
"254"	"The Right Profile"	7	"That's Montgomery Clift, honey!"	"London Calling"	"The Clash"
"255"	"The Right Profile"	7	"He said go out and get me my old movie stills"	"London Calling"	"The Clash"
"256"	"The Right Profile"	7	"Go out and get me another roll of pills"	"London Calling"	"The Clash"
"257"	"The Right Profile"	7	"Everything's shakin', but I ain't got the chills"	"London Calling"	"The Clash"
"258"	"The Right Profile"	7	"And everybody say, \"What's he like?\""	"London Calling"	"The Clash"
"259"	"The Right Profile"	7	"And everybody say, \"Is he all right?\""	"London Calling"	"The Clash"
"260"	"The Right Profile"	7	"Everybody say, \"He sure look funny\""	"London Calling"	"The Clash"
"261"	"The Right Profile"	7	"\"I was trapped!\" Montgomery Clift, honey!"	"London Calling"	"The Clash"
"262"	"Lost In the Supermarket"	8	"I'm all lost in the supermarket"	"London Calling"	"The Clash"
"263"	"Lost In the Supermarket"	8	"I can no longer shop happily"	"London Calling"	"The Clash"
"264"	"Lost In the Supermarket"	8	"I came in here for the special offer"	"London Calling"	"The Clash"
